,player_id,last_name,first_name,season_id,conference,league_id,games_played,minutes,points,o_rebounds,d_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,fg_attempted,fg_made,ft_attempted,ft_made,three_attempted,three_made
310,dampilo01,Dampier,Louie,1974,East,ABA,1,27,11.0,0.0,3.0,3.0,1.0,2.0,0.0,2.0,4.0,8.0,5.0,0.0,0.0,2.0,1.0
320,danieme01,Daniels,Mel,1972,West,ABA,1,33,25.0,4.0,7.0,11.0,1.0,0.0,2.0,3.0,3.0,19.0,8.0,12.0,9.0,0.0,0.0
321,danieme01,Daniels,Mel,1973,West,ABA,1,20,5.0,3.0,4.0,7.0,0.0,0.0,1.0,4.0,2.0,11.0,2.0,2.0,1.0,0.0,0.0
327,dantlad01,Dantley,Adrian,1981,West,NBA,1,21,12.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,8.0,6.0,1.0,0.0,0.0,0.0
337,davisan01,Davis,Antonio,2000,East,NBA,1,20,8.0,7.0,2.0,9.0,0.0,1.0,1.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0
338,davisba01,Davis,Baron,2001,East,NBA,1,13,2.0,0.0,1.0,1.0,5.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0
339,davisba01,Davis,Baron,2003,East,NBA,1,16,7.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,9.0,3.0,0.0,0.0,6.0,1.0
340,davisda01,Davis,Dale,1999,East,NBA,1,14,4.0,3.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
360,divacvl01,Divac,Vlade,2000,West,NBA,1,9,8.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0
378,dumarjo01,Dumars,Joe,1996,East,NBA,1,10,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,1.0
384,duncati01,Duncan,Tim,2003,West,NBA,1,26,14.0,2.0,11.0,13.0,5.0,1.0,0.0,2.0,2.0,11.0,6.0,4.0,2.0,0.0,0.0
385,duncati01,Duncan,Tim,2002,West,NBA,1,40,19.0,5.0,10.0,15.0,4.0,1.0,0.0,3.0,2.0,18.0,8.0,3.0,3.0,0.0,0.0
